Identifiant,Titre,Latitude,Longitude,Prix nuitee,Commune,Departement,Type de propriete,Id. type de logement,Type de logement,Capacite d'accueil,Nombre de salles de bain,Nombre de chambres,Nombre de lits,Type de lit,Cuisine,Internet,Television,Produits de base,Shampooing,Chauffage,Climatisation,Machine a laver,Seche-linge,Parking gratuit sur place,Internet sans fil,Television par cable,Petit dejeuner,Animaux acceptes,Pour familles/enfants,Adapte aux evenements,Logement fumeur,Acces handicapes,Ascenseur,Cheminee d'interieur,Interphone,Portier,Piscine,Jacuzzi,Salle de sport,Entree dans les lieux 24h/24,Cintres,Fer a repasser,Seche-cheveux,Espace de travail pour ordinateur,Detecteur de fumee,Detecteur de monoxyde,Kit de premiers secours,Fiche securite,Extincteur,Porte de la chambre avec verrou,Reduction a la semaine,Reduction au mois,Surcout par voyageur supplementaire,Frais de menage,Caution,Duree minimale du sejour,Animal sur place,Conditions d'annulation,Disponible
311180,<!-- react-text: 236 -->T1 moderne plage des Catalans - Pharo - box<!-- /react-text -->,43.2893094939877,5.35624887599983,59,MARSEILLE,13,Appartement,3,Logement entier,3,1,1,2,,X,X,X,X,,X,X,X,X,,X,,,,X,,,,X,,X,,,,,X,X,X,X,X,X,X,,,,,10,10,5,0,300,3,,,True
314973,A GOOD PLACE TO DISCOVER MARSEILLE,43.2958212756381,5.3821285304873,60,MARSEILLE,13,Appartement,3,Logement entier,4,1,3,3,,X,X,X,X,,X,,X,,,X,X,,X,X,,,X,,,X,,,,,,,X,X,,,,,,,,0,0,15,40,300,4,,,True
339988,Modern Flat By Vieux-Port w Balcony,43.297714766949,5.37126952306511,119,MARSEILLE,13,Appartement,3,Logement entier,6,2,2,3,,X,,X,X,,X,,X,,,X,,,,X,,,,X,X,,,,,,,,,,,,,,,,,0,0,20,69,350,2,,,True
340763,Jolie appartement au Vieux Port,43.2882535463077,5.36643384413895,45,MARSEILLE,13,Appartement,3,Logement entier,3,1,1,0,Vrai lit,X,X,X,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,38,0,30,200,2,,,False
347264,studio terrasse tres bien citue,43.3018547486315,5.39150066435044,43,MARSEILLE,13,Appartement,3,Logement entier,4,1,1,2,,X,,X,,,X,,,,,,X,,X,X,X,,X,,,X,,,,,,,,,,,,,,,,0,0,20,30,250,7,Chien(s),Strictes,True
"359962,""<!-- react-text: 236 -->L&#x27,appartement ideal, cosy, central<!-- /react-text -->"",43.2934760236573,5.37314448830386,66,MARSEILLE,13,Appartement,3,Logement entier,5,1,1,1,Vrai lit,X,X,X,X,,X,X,X,,,X,,,,X,,,,,,X,,,,,,X,X,X,X,,,,,,,0,0,5,30,150,3,,,True"
360508,<!-- react-text: 193 -->La Perle du General<!-- /react-text -->,43.2944932781667,5.37550327014703,80,MARSEILLE,13,Appartement,3,Logement entier,4,1,1,1,Vrai lit,X,X,X,X,,X,X,X,,,X,X,,,X,,,,,,X,,,,,,X,X,X,X,X,,,,,,0,0,5,20,0,1,,,True
360516,<!-- react-text: 193 -->Le Jardin du General<!-- /react-text -->,43.2947102458105,5.37557557381612,90,MARSEILLE,13,Appartement,3,Logement entier,4,1,1,2,,X,X,X,X,,X,X,X,,,X,X,,X,X,,,,,,X,,,,,,X,X,X,X,X,X,,,,,0,0,5,20,0,1,,,True
366435,<!-- react-text: 193 -->Maison dans un jardin tres calme. <!-- /react-text -->,43.2959039927728,5.40611850039833,45,MARSEILLE,13,Maison,3,Logement entier,4,1,1,2,,X,,,X,,X,,X,,,X,,,X,X,,,,,,,,,,,,X,X,X,,X,,,X,,,10,10,0,30,0,3,,,True
370534,studio meuble terrasse tres bien situe,43.3025285311278,5.39049406180392,42,MARSEILLE,13,Appartement,3,Logement entier,4,1,1,1,Canape,X,,X,,,X,,,,X,,,,X,X,X,,X,,,,,,,,,,,,,,,,,,,0,0,20,30,0,7,Certains animaux,Flexibles,False
"403155,""Bel appartement lumineux, Balcon, Proche Metro."",43.288754985581,5.39792601982663,40,MARSEILLE,13,Appartement,3,Logement entier,4,1,2,2,,X,X,X,X,,X,X,X,,,X,X,,,X,,,,,,X,,,,,X,X,X,X,X,X,X,,,,,0,0,8,25,250,3,,,True"
407832,Grd bel appt  ensoleille centre,43.2996911894002,5.38955885097335,85,MARSEILLE,13,Appartement,3,Logement entier,4,1,2,0,Vrai lit,X,X,X,,,X,,X,,,X,X,X,,X,,,,,,X,,,,,,,,,,,,,,,,0,30,10,0,0,1,,,True
415931,Fraicheur et jardin en centre ville,43.3016324377261,5.39201516371215,149,MARSEILLE,13,Appartement,3,Logement entier,8,3,4,0,,X,X,X,X,,X,,X,,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,X,,4,22,0,50,150,4,,,False
436839,<!-- react-text: 236 -->Comfy studio Central Marseille<!-- /react-text -->,43.2953072180571,5.37701710201956,37,MARSEILLE,13,Appartement,3,Logement entier,2,1,1,2,,X,X,X,X,,X,,X,,,X,,,,,,,,,,X,,,,,X,X,X,X,X,,,,,,,3,3,10,10,100,1,,,True
440226,Pres du centre-ville et de la mer,43.2814965101228,5.35243892911866,67,MARSEILLE,13,Appartement,3,Logement entier,2,1,1,0,Vrai lit,X,,,X,,X,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,16,26,0,30,100,3,Chat(s),,False
